modbus.byte_cnt,modbus.data,modbus.func_code,modbus.reference_num,modbus.regnum16,modbus.regval_uint16,modbus.request_frame,modbus.word_cnt,ip.src,ip.dst,eth.src,eth.dst,label
,2d:77,6,1.0,,,11524.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,85:21,6,2.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,85:21,6,2.0,,,11542.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,d8:4e,6,3.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,d8:4e,6,3.0,,,11560.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,03:35,6,4.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,03:35,6,4.0,,,11578.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,27:98,6,5.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,27:98,6,5.0,,,11596.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,46:30,6,6.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,46:30,6,6.0,,,11614.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,bb:a2,6,7.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,bb:a2,6,7.0,,,11632.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,84:58,6,8.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,84:58,6,8.0,,,11650.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,47:f6,6,9.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,47:f6,6,9.0,,,11668.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","45115,11639,34081,55374,821,10136,17968,48034,33880,18422",11719.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","45115,11639,34081,55374,821,10136,17968,48034,33880,18422",11772.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,81:a4,6,0.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,81:a4,6,0.0,,,11806.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,cd:d0,6,1.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,cd:d0,6,1.0,,,11824.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,f0:3a,6,2.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,f0:3a,6,2.0,,,11842.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,ee:33,6,3.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,ee:33,6,3.0,,,11860.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,96:8a,6,4.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,96:8a,6,4.0,,,11878.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,02:39,6,5.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,02:39,6,5.0,,,11896.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,c7:12,6,6.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,c7:12,6,6.0,,,11914.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,0d:dd,6,7.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,0d:dd,6,7.0,,,11932.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,73:a8,6,8.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,73:a8,6,8.0,,,11950.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,07:9d,6,9.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,07:9d,6,9.0,,,11968.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","33188,52688,61498,60979,38538,569,50962,3549,29608,1949",12022.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","33188,52688,61498,60979,38538,569,50962,3549,29608,1949",12086.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.150,10.20.4.100,mac-c,mac-a,1
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","33188,52688,61498,60979,38538,569,50962,3549,29608,1949",12124.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","33188,52688,61498,60979,38538,569,50962,3549,29608,1949",12160.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","33188,52688,61498,60979,38538,569,50962,3549,29608,1949",12213.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","33188,52688,61498,60979,38538,569,50962,3549,29608,1949",12288.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","33188,52688,61498,60979,38538,569,50962,3549,29608,1949",12355.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","33188,52688,61498,60979,38538,569,50962,3549,29608,1949",12418.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
